,알레르기식품,대체식품
0,난류,흰생선
1,난류,쇠고기
2,난류,돼지고기
3,난류,두부
4,소고기,닭가슴살
5,소고기,생선
6,소고기,콩류
7,소고기,두부
8,소고기,견과류
9,돼지고기,쇠고기
10,돼지고기,닭고기
11,돼지고기,생선류
12,돼지고기,두부
13,돼지고기,달걀
14,닭고기,연어
15,닭고기,오징어
16,닭고기,달
17,닭고기,두부
18,새우,닭고기
19,새우,돼지고기
20,새우,표고버섯
21,새우,두부
22,새우,달걀
23,새우,미역
24,게,새우
25,게,콩
26,게,두부
27,게,버섯
28,오징어,돼지고기
29,오징어,표고버섯
30,오징어,두부
31,고등어,쇠고기
32,고등어,닭고기
33,고등어,돼지고기
34,고등어,두부
35,고등어,달걀
36,조개류,북어
37,조개류,닭고기
38,조개류,계란
39,조개류,유부
40,우유,두유
41,우유,멸치
42,우유,두부
43,우유,해조류
44,땅콩,깨
45,호두,현미
46,호두,연근
47,잣,호두
48,잣,아몬드
49,잣,땅콩
50,복숭아,수박
51,복숭아,참외
52,밀,쌀
53,밀,감자
54,밀,옥수수
55,밀,고구마
56,메밀,쌀
57,메밀,감자
58,아황산류,냉동갑각류
59,아황산류,가공감자
60,아황산류,말린과일
61,아황산류,포도주
62,아황산류,깐연근
63,아황산류,깐우엉
64,아황산류,깐도라지
